name,location,rest_type,cuisines,cost,online_order,book_table,rate,votes,type
Hotel Archana Grand,Bommanahalli,Quick Bites,"Chinese, North Indian",500.0,Yes,No,3.5,22,Delivery
Chakh Le india,Bommanahalli,Quick Bites,"North Indian, Chinese",250.0,Yes,No,3.2,6,Delivery
2nd Home Restaurant,BTM,Quick Bites,"South Indian, North Indian, Chinese",500.0,Yes,No,3.7,21,Delivery
Hello Brother Hotel,HSR,Quick Bites,"North Indian, Chinese",300.0,No,No,3.4,6,Delivery
Wakeup Cafe,HSR,Quick Bites,"Fast Food, Beverages",300.0,Yes,No,3.4,9,Delivery
Chill-Um Cafe,Koramangala 6th Block,Quick Bites,"Cafe, Chinese, Continental",600.0,Yes,Yes,4.1,151,Delivery
Abhiruchi,HSR,"Takeaway, Delivery","Andhra, Chinese, Biryani",400.0,Yes,No,2.9,36,Delivery
Cafemoto,Koramangala 5th Block,Cafe,"Cafe, Continental, Italian, Burger",800.0,Yes,No,4.0,201,Delivery
Kapoor's Biriyani,BTM,Quick Bites,"Biryani, North Indian",400.0,Yes,No,3.3,334,Delivery
Kokomo,Koramangala 6th Block,Delivery,"Thai, Chinese",500.0,Yes,No,4.0,193,Delivery
Keep It Straight Cafe,HSR,Cafe,"Cafe, North Indian, Fast Food",500.0,Yes,Yes,3.9,202,Delivery
Rollin,Koramangala 4th Block,Quick Bites,"Continental, Pizza, Chinese",400.0,Yes,No,4.1,209,Delivery
Habitts,BTM,Quick Bites,"Fast Food, Sandwich, Italian",450.0,Yes,No,3.7,61,Delivery
Kolkata Famous Katti Rolls,BTM,"Takeaway, Delivery","Fast Food, Rolls",200.0,Yes,No,3.6,36,Delivery
Al Habibi Restaurant,BTM,Quick Bites,"North Indian, Chinese",300.0,Yes,No,3.5,17,Delivery
BTM Bawarchi Biryani,BTM,"Takeaway, Delivery","Biryani, North Indian, Chinese",600.0,Yes,No,3.5,132,Delivery
Punjabi Chulha,Koramangala 1st Block,Casual Dining,North Indian,400.0,Yes,No,3.8,38,Delivery
Under The Hood,Koramangala 1st Block,Quick Bites,"Salad, Healthy Food, Street Food",300.0,Yes,No,4.0,76,Delivery
Berry'd Alive,Koramangala 5th Block,Dessert Parlor,Desserts,400.0,Yes,No,4.3,1899,Delivery
Ghar Ka Khana,Koramangala 1st Block,Quick Bites,North Indian,150.0,Yes,No,3.7,95,
Burger Lounge,Koramangala 5th Block,Quick Bites,"Burger, Fast Food, Beverages",600.0,Yes,No,3.0,72,Delivery
The Kream Story,Koramangala 7th Block,"Dessert Parlor, Quick Bites","Desserts, Fast Food",500.0,Yes,No,4.1,37,Delivery
AutoExpress - Hot Dogs,HSR,Quick Bites,Fast Food,300.0,Yes,No,3.3,5,Delivery
Banana Beach Bar,Koramangala 6th Block,Bar,"Continental, Chinese",1300.0,Yes,Yes,3.7,1014,Delivery
Taza Khaana,HSR,Delivery,"Chinese, North Indian",450.0,Yes,No,3.0,175,
Hunger Night King,Koramangala 2nd Block,Delivery,"North Indian, Chinese",400.0,Yes,No,3.6,112,Delivery
Double Blend,BTM,Beverage Shop,"Beverages, Juices, Ice Cream",200.0,Yes,No,3.6,11,Delivery
Ande Ka Funda,BTM,Quick Bites,North Indian,200.0,No,No,3.5,27,Delivery
Hasini Foods,Koramangala 4th Block,Quick Bites,"Andhra, Chinese, North Indian",450.0,Yes,No,2.9,21,Delivery
Kataria's Home Food,BTM,Quick Bites,North Indian,400.0,Yes,No,3.1,40,Delivery
Night Spoon,BTM,Delivery,"Biryani, Chinese, North Indian",600.0,Yes,No,2.6,54,
Gilly's Restobar,Koramangala 5th Block,"Pub, Casual Dining","Finger Food, Continental, North Indian",1000.0,No,Yes,4.5,3902,
The Night Watch Express,Koramangala 1st Block,"Takeaway, Delivery","North Indian, Chinese",500.0,Yes,No,3.0,53,Delivery
Pensiri Cafe,HSR,"Takeaway, Delivery",North Indian,300.0,Yes,No,3.5,48,Delivery
Marunadan Kada,BTM,Quick Bites,"Kerala, Tea",250.0,No,No,3.3,6,Delivery
The Kitchen Bandit,Koramangala 2nd Block,Delivery,"Chinese, North Indian, Fast Food",350.0,Yes,No,3.2,42,Delivery
Fresh Bites,Koramangala 1st Block,Quick Bites,"Italian, Fast Food",400.0,Yes,No,3.3,16,Delivery
Lassi Pot,BTM,Beverage Shop,Beverages,250.0,Yes,No,3.3,4,Delivery
Royal View Restaurant,BTM,Casual Dining,"North Indian, Chinese, Arabian",700.0,Yes,No,3.7,26,Delivery
Ober Cafe,Koramangala 1st Block,Quick Bites,"Fast Food, Desserts",200.0,Yes,No,3.5,10,Delivery
Mealsbaba,HSR,"Takeaway, Delivery",North Indian,400.0,Yes,No,3.7,57,Delivery
Tawa,Koramangala 1st Block,Quick Bites,North Indian,200.0,Yes,No,3.4,25,Delivery
The Kitchen Story,HSR,Delivery,"North Indian, Chinese",300.0,Yes,No,3.3,18,Delivery
Ambur Hot Dum Biryani,BTM,Quick Bites,Biryani,200.0,No,No,3.5,21,Delivery
Egg Star,HSR,Delivery,"Healthy Food, Sandwich",300.0,Yes,No,3.6,19,Delivery
Lucky's Biriyani Point,HSR,"Takeaway, Delivery","Biryani, South Indian, North Indian, Fast Food",400.0,Yes,No,3.4,9,Delivery
Khichadiwala,HSR,"Takeaway, Delivery",North Indian,400.0,Yes,No,3.9,15,Delivery
Nile Garden Restaurant,BTM,Casual Dining,"North Indian, Fast Food, Chinese, Beverages",500.0,Yes,No,2.6,33,Delivery
Kullukki,Koramangala 5th Block,Quick Bites,"Juices, Beverages, Fast Food",400.0,Yes,No,3.5,9,Delivery
Big Wong XL,Koramangala 5th Block,Casual Dining,"Chinese, Sushi, Asian, Thai",1400.0,No,Yes,4.5,678,
Nagarjuna,Koramangala 5th Block,Casual Dining,"Andhra, North Indian, Biryani",800.0,No,No,4.3,2296,
Kritunga Restaurant,Koramangala 5th Block,Casual Dining,"Andhra, Biryani, North Indian, Chinese",650.0,No,No,3.8,1159,Delivery
Khawa Karpo,Koramangala 5th Block,Quick Bites,"Chinese, Tibetan, Momos",350.0,No,No,4.3,988,Delivery
The Himalayan,Koramangala 5th Block,Casual Dining,Korean,1200.0,No,Yes,4.4,320,Delivery
Art of Delight,Koramangala 5th Block,Dessert Parlor,"Ice Cream, Desserts, Beverages",400.0,No,No,4.3,449,Delivery
Food And You,Koramangala 5th Block,Quick Bites,"North Indian, Gujarati",300.0,No,No,3.8,89,Delivery
Crave Bite,Jayanagar,Quick Bites,"Chinese, Italian, Fast Food, Momos",400.0,No,No,3.6,19,Delivery
Biryani Knights,JP Nagar,Delivery,Biryani,300.0,No,No,3.6,21,Delivery
Dum & Oven,HSR,Casual Dining,"North Indian, Hyderabadi, Continental",600.0,No,No,3.7,29,Delivery
Now Momos,Koramangala 7th Block,Quick Bites,"Chinese, Fast Food, Momos",200.0,No,No,3.4,11,Delivery
Ammi's Biryani,Bommanahalli,Quick Bites,"Biryani, North Indian",500.0,No,No,2.7,77,Delivery
Midnight Express,Koramangala 5th Block,"Takeaway, Delivery","North Indian, Chinese, Continental",650.0,No,No,2.8,26,Delivery
Hungry Bowl,Koramangala 5th Block,"Takeaway, Delivery","North Indian, Chinese, Italian",500.0,No,No,3.6,51,Delivery
Midnight Hunger Solutions 24/7,Koramangala 5th Block,Delivery,"North Indian, Mughlai, Chinese",500.0,No,No,3.2,11,Delivery
Owly,Koramangala,Delivery,"Fast Food, North Indian",350.0,No,No,3.7,27,Delivery
Petoo,Koramangala 1st Block,Casual Dining,"North Indian, Fast Food, Street Food",800.0,Yes,No,3.8,178,Delivery
Kebarbiq,Koramangala 7th Block,Casual Dining,"North Indian, Arabian, Mughlai, Middle Eastern, Grill",800.0,Yes,No,4.0,138,Delivery
Red Bawarchi,BTM,Delivery,"Biryani, Chinese, North Indian",600.0,Yes,No,3.0,21,Delivery
Pakiza Dilli Darbar Restaurant,BTM,Quick Bites,Biryani,300.0,Yes,No,3.2,13,Delivery
Intriicake,HSR,"Quick Bites, Bakery","Bakery, Desserts, Italian, North Indian, Fast Food",350.0,Yes,No,3.8,34,Delivery
Queen Pearls,Ejipura,"Takeaway, Delivery",Pizza,500.0,Yes,No,3.6,25,Delivery
Sunny's Kitchen,HSR,"Takeaway, Delivery","Continental, American",500.0,Yes,No,3.7,62,Delivery
Halo Chef,Koramangala 4th Block,Delivery,North Indian,500.0,Yes,No,3.9,145,Delivery
Natuna Seafood House,Koramangala 5th Block,Quick Bites,Seafood,450.0,Yes,No,4.2,76,Delivery
TangyLicious,BTM,"Takeaway, Delivery",Fast Food,400.0,Yes,No,2.6,16,Delivery
The Duke of Juices,HSR,Quick Bites,"Juices, Beverages, Salad",200.0,Yes,No,2.8,5,Delivery
Gourmet Food Truck,South Bangalore,Food Truck,Chinese,200.0,Yes,No,3.6,15,Delivery
Chination,Koramangala 4th Block,Delivery,Chinese,600.0,Yes,No,3.5,4,Delivery
Delicious Demons,Koramangala 1st Block,Delivery,Continental,400.0,Yes,No,3.3,26,Delivery
HungerLoft,BTM,Casual Dining,"North Indian, Chinese, Arabian",800.0,Yes,No,2.5,109,Delivery
Zero Kelvin,Koramangala 4th Block,Dessert Parlor,"Desserts, Beverages",450.0,Yes,No,4.3,169,Delivery
Ocean,Koramangala 6th Block,Casual Dining,"Mexican, Continental, Italian, Chinese",700.0,Yes,No,3.8,213,Delivery
Sagar Fast Food,BTM,Quick Bites,"South Indian, Chinese, North Indian",300.0,Yes,No,3.7,66,Delivery
Subham Pal Kitchen,Koramangala 1st Block,Quick Bites,"North Indian, Chinese",300.0,Yes,No,3.3,10,Delivery
The Retro,Koramangala 7th Block,Quick Bites,"Chinese, Burger",300.0,Yes,No,3.2,47,Delivery
Raj Darbar,Koramangala 6th Block,Casual Dining,"North Indian, Chinese, Bengali",800.0,Yes,No,3.7,47,Delivery
Akshaya Grand,BTM,Casual Dining,North Indian,750.0,Yes,No,3.4,29,Delivery
House Of Commons,Koramangala 5th Block,Bar,"Continental, Asian, North Indian",1000.0,No,Yes,4.8,4390,
Happy Brew,Koramangala 5th Block,Lounge,"Continental, American, Chinese, BBQ, Salad",1000.0,No,Yes,4.0,2151,Delivery
Krishna Grand,HSR,Quick Bites,South Indian,200.0,Yes,No,3.2,42,Delivery
Namms Cafe,Koramangala 2nd Block,Delivery,"Biryani, South Indian, Fast Food, Rolls, Kebab, North Indian",300.0,Yes,No,3.1,7,Delivery
M World Cafe,Koramangala 1st Block,Cafe,Cafe,500.0,Yes,No,3.5,14,Delivery
Namaste Kitchen,Koramangala 5th Block,Casual Dining,"North Indian, South Indian, Chinese",400.0,Yes,No,3.8,172,Delivery
India On Wheels,Koramangala 3rd Block,Delivery,North Indian,400.0,Yes,No,3.6,11,Delivery
Naati Biriyani,BTM,Quick Bites,"Kebab, Biryani",300.0,Yes,No,3.1,4,Delivery
California Burrito,Koramangala 5th Block,Quick Bites,"Mexican, Fast Food",400.0,No,No,4.1,1223,Delivery
Royal Treat,Koramangala 5th Block,Casual Dining,"North Indian, Chinese, Biryani",500.0,No,No,4.1,435,Delivery
Moghul Durbar Restaurant,Jayanagar,Casual Dining,"North Indian, BBQ, Kebab, Rolls",550.0,No,No,4.0,335,Delivery
Anjappar,Koramangala 4th Block,Casual Dining,"Chettinad, South Indian",650.0,No,No,3.9,1155,Delivery
Nandhana Palace,Koramangala 4th Block,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese",800.0,No,Yes,4.1,770,Delivery
Indian Coffee House & Restaurant,Koramangala 5th Block,Casual Dining,"South Indian, North Indian, Chinese",650.0,No,No,4.1,674,Delivery
Samosa Party,Koramangala 5th Block,Quick Bites,"Street Food, Fast Food",150.0,No,No,4.1,42,Delivery
Johnny Fox,Hosur Road,Bar,"North Indian, Chinese",1500.0,No,No,3.9,66,Delivery
Baba Da Dhaba,Koramangala 7th Block,Casual Dining,North Indian,650.0,No,Yes,4.1,446,Delivery
The ThickShake Factory,Koramangala 7th Block,Beverage Shop,"Beverages, Juices",350.0,No,No,4.3,235,Delivery
Navya Andhra Style Restaurant,Hosur Road,Delivery,"North Indian, South Indian",200.0,No,No,3.5,12,Delivery
Hari Super Sandwich,Jayanagar,Quick Bites,"Fast Food, Street Food",200.0,No,No,4.0,161,Delivery
Taj Durbar,Jayanagar,Quick Bites,"North Indian, BBQ",400.0,No,No,3.8,83,Delivery
Hatti Punjab Di,HSR,Casual Dining,"North Indian, Chinese",600.0,No,No,3.3,24,Delivery
Hyderabad Bawarchi,Jayanagar,Casual Dining,"North Indian, Biryani, Chinese",800.0,No,No,3.9,118,Delivery
Shree Thali,Koramangala 5th Block,Mess,North Indian,150.0,No,No,4.0,181,
Gundappa Donne Biryani,Koramangala 7th Block,Quick Bites,Biryani,200.0,No,No,3.1,117,
Ambur Biryani,Koramangala 3rd Block,Quick Bites,"Biryani, Chinese",250.0,No,No,3.5,17,Delivery
Panjabi Dhaba,Bommanahalli,Quick Bites,"North Indian, Chinese",300.0,No,No,3.2,21,Delivery
Star Kitchen,Bommanahalli,Quick Bites,"Chinese, North Indian, Biryani",150.0,No,No,3.3,9,Delivery
North Indian And Bengali Mess,Koramangala 5th Block,Mess,"North Indian, Bengali",300.0,No,No,3.7,34,Delivery
The Donut Baker,Koramangala 7th Block,"Bakery, Dessert Parlor",Desserts,150.0,No,No,3.8,62,Delivery
Food Theory,HSR,Delivery,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",500.0,No,No,2.6,56,Delivery
Momos Corner,HSR,Quick Bites,Chinese,250.0,No,No,3.3,6,Delivery
Rotti Mane,Jayanagar,Quick Bites,South Indian,200.0,No,No,3.6,13,Delivery
Meal In A Box,Koramangala 7th Block,Delivery,Street Food,300.0,No,No,3.6,16,Delivery
Multi Cakes,JP Nagar,Dessert Parlor,"Bakery, Desserts",200.0,No,No,3.7,44,Delivery
Cake Art,JP Nagar,"Bakery, Quick Bites",Bakery,400.0,No,No,2.9,27,Delivery
Pai's Kitchen,Koramangala 2nd Block,Quick Bites,South Indian,200.0,No,No,3.5,11,Delivery
Good Bread,JP Nagar,Bakery,"Bakery, Desserts",300.0,No,No,3.6,14,Delivery
UNIK Food,Jayanagar,Quick Bites,"North Indian, Chinese",300.0,No,No,3.3,4,Delivery
Kyakhanahai,Koramangala 5th Block,Delivery,"North Indian, South Indian",400.0,No,No,3.4,8,Delivery
Le Rosa Restaurant,HSR,Casual Dining,"North Indian, Mughlai, Biryani",700.0,No,No,3.2,4,Delivery
Mysore Carnival Restaurant,Koramangala 6th Block,Quick Bites,"Chinese, Kerala, North Indian, South Indian",350.0,No,No,3.8,14,Delivery
SVR Foods - Night Ka Khana,JP Nagar,Delivery,"North Indian, South Indian",400.0,No,No,3.5,15,Delivery
Ronnie's Kitchen,Koramangala 5th Block,Quick Bites,Chinese,200.0,No,No,3.1,12,Delivery
The Tower Of Pizza,Koramangala 5th Block,Quick Bites,"Pizza, Italian",500.0,No,No,2.9,16,Delivery
Indian Dhaba,HSR,Casual Dining,"North Indian, Chinese",450.0,No,No,3.3,7,Delivery
Banashankari Donne Biriyani,Koramangala 7th Block,Quick Bites,"South Indian, Biryani",300.0,No,No,3.3,4,Delivery
S.W.A.T Food Truck,Koramangala 5th Block,Quick Bites,"American, Fast Food",250.0,No,No,3.7,21,Delivery
The Little Kitchen,Jayanagar,Quick Bites,"Chinese, Momos",300.0,No,No,3.8,27,Delivery
The Night King,Koramangala 7th Block,"Takeaway, Delivery","North Indian, Chinese",400.0,No,No,3.3,4,Delivery
Niice Cream,Koramangala 5th Block,Dessert Parlor,"Ice Cream, Beverages, Desserts",400.0,No,No,3.8,38,Delivery
Prakruthi Restaurant,Bommanahalli,Quick Bites,"Andhra, North Indian",400.0,No,No,3.2,4,Delivery
Chai Mane,Koramangala 5th Block,Quick Bites,"Juices, Fast Food",150.0,No,No,3.0,8,Delivery
Desi Breakk,HSR,Delivery,North Indian,150.0,No,No,3.3,7,Delivery
TGS Retails,HSR,"Takeaway, Delivery","Bakery, Desserts",600.0,No,No,3.3,4,Delivery
Grand Chillies,HSR,Quick Bites,"North Indian, Chinese, Biryani",400.0,No,No,3.4,7,Delivery
Kanha's Kafe,Koramangala 5th Block,Quick Bites,"Awadhi, Bihari, Fast Food, Ice Cream, Mithai",200.0,No,No,3.5,12,Delivery
FrostBite,Koramangala 5th Block,"Dessert Parlor, Quick Bites","Desserts, Fast Food",400.0,No,No,3.5,15,Delivery
Jodhpur Jaika,Bommanahalli,Quick Bites,"North Indian, Street Food",200.0,No,No,3.3,4,Delivery
Lets cafe,Koramangala 5th Block,Quick Bites,"Chinese, North Indian",250.0,No,No,3.5,6,Delivery
Homfrez.com,Koramangala 1st Block,Delivery,"Biryani, Chettinad, Kerala, Maharashtrian, North Indian",400.0,No,No,3.4,8,Delivery
Malabar Mint,Koramangala 5th Block,Casual Dining,"Kerala, North Indian, Chinese",700.0,No,No,3.4,39,Delivery
The Denny's,Jayanagar,Casual Dining,"North Indian, Chinese",900.0,No,No,3.7,91,Delivery
Sri Lakshmi Dhaba,Bommanahalli,Quick Bites,"North Indian, Chinese",300.0,No,No,3.0,17,Delivery
Hotel Palace,HSR,Quick Bites,"Biryani, Chinese",250.0,Yes,No,3.7,24,Delivery
Desi Vdesi,BTM,Quick Bites,"Fast Food, North Indian, Rolls",250.0,Yes,No,3.8,50,Delivery
Tasty Khaana Khazana,Bommanahalli,Quick Bites,North Indian,300.0,Yes,No,3.3,6,Delivery
Chaai Resto,Koramangala 5th Block,Beverage Shop,Beverages,300.0,No,No,2.7,16,Delivery
House Of Lassi,Bommanahalli,Beverage Shop,"Beverages, Fast Food",250.0,Yes,No,3.6,23,Delivery
Lassi Pot,HSR,Beverage Shop,Beverages,100.0,Yes,No,3.3,7,Delivery
Aaranya Restaurant,HSR,Casual Dining,"North Indian, Chinese, Mughlai",800.0,Yes,No,3.4,212,Delivery
Kerala Mess,Koramangala 1st Block,Quick Bites,Kerala,200.0,Yes,No,3.4,19,Delivery
Hot & Cold Hut,Koramangala 4th Block,Quick Bites,"Fast Food, Rolls, Juices",200.0,Yes,No,3.0,46,Delivery
Sreeraj Lassi Bar,BTM,Beverage Shop,Beverages,150.0,Yes,No,4.0,87,Delivery
Cilantro,Koramangala 4th Block,"Casual Dining, Bar","European, American, Continental, North Indian, Steak",1500.0,Yes,Yes,4.0,280,Delivery
The Open Cafe,HSR,Cafe,"Cafe, Chinese, Continental",500.0,Yes,No,3.7,15,Delivery
Rimo,Koramangala 5th Block,Quick Bites,"Tibetan, Asian, Momos",500.0,Yes,No,3.9,44,Delivery
Hot Cross Bun,Koramangala 6th Block,"Takeaway, Delivery",Fast Food,500.0,Yes,No,3.3,4,Delivery
Bullet Biryani,BTM,"Takeaway, Delivery",Biryani,300.0,Yes,No,3.2,9,Delivery
Bajji House,HSR,Quick Bites,Street Food,100.0,Yes,No,3.5,7,Delivery
Biryani Spot,BTM,Quick Bites,"South Indian, Biryani",300.0,Yes,No,3.5,9,Delivery
Desserts Tree,Koramangala 1st Block,Sweet Shop,"Mithai, Desserts",100.0,Yes,No,3.8,86,Delivery
Om Sweets & Snacks,Koramangala 5th Block,Sweet Shop,"Mithai, Oriya, Bengali",150.0,Yes,No,3.9,34,Delivery
Momos Corner,Bommanahalli,Quick Bites,"Chinese, Rolls, Momos",250.0,Yes,No,3.1,15,Delivery
Healthy Yummy Food Restaurant,HSR,Casual Dining,"Beverages, North Indian, Chinese, Italian",900.0,Yes,No,3.6,16,Delivery
Shabari Kitchen,Koramangala 1st Block,Quick Bites,"South Indian, Chinese",150.0,Yes,No,3.5,16,Delivery
#L-81 Cafe,HSR,Quick Bites,"Fast Food, Beverages",400.0,Yes,No,3.9,48,Delivery
House Of Wholewheat,Koramangala 1st Block,Bakery,"Bakery, Desserts",200.0,Yes,No,3.1,6,Delivery
Dabba Karkhana,BTM,"Takeaway, Delivery",North Indian,300.0,Yes,No,3.5,17,Delivery
Hotel Tadaka House,Bommanahalli,Quick Bites,"North Indian, Chinese, Biryani",300.0,Yes,No,3.4,7,Delivery
Eat Sleep Eat Repeat,Koramangala 5th Block,Quick Bites,"Chinese, North Indian, Continental",200.0,Yes,No,3.5,16,Delivery
Aroma Fine Dine,HSR,Casual Dining,"North Indian, Mughlai, Chinese, South Indian",900.0,Yes,Yes,4.0,127,Delivery
Amma's Pastries,BTM,Dessert Parlor,"Bakery, Desserts",400.0,No,No,4.2,434,Desserts
Choco Cheese,BTM,Dessert Parlor,"Desserts, Beverages",300.0,Yes,No,4.4,63,Desserts
Kanti Sweets,BTM,Sweet Shop,"Mithai, Street Food",400.0,Yes,No,4.2,115,Desserts
Keventers,BTM,"Beverage Shop, Dessert Parlor","Beverages, Desserts, Ice Cream",400.0,Yes,No,3.8,26,Desserts
Shri Ram Sweet Centre,BTM,"Quick Bites, Sweet Shop","Street Food, Mithai",150.0,No,No,4.0,164,Desserts
Just Bake,BTM,Bakery,Bakery,400.0,Yes,No,3.3,77,Desserts
Sweet Truth,BTM,Bakery,"Bakery, Desserts",500.0,Yes,No,4.0,30,Desserts
New Surya Sweets & Snacks,BTM,Sweet Shop,"Mithai, Fast Food",300.0,No,No,3.5,7,Desserts
Sri Devi Baker's,BTM,"Bakery, Quick Bites","Bakery, Street Food",200.0,No,No,3.9,41,Desserts
KC Das - The Delite Foods,BTM,"Sweet Shop, Quick Bites","Mithai, Street Food",200.0,No,No,3.3,29,Desserts
Jodhpur Sweets & Corner,BTM,"Dessert Parlor, Sweet Shop","Desserts, Street Food, Mithai",200.0,No,No,3.7,22,Desserts
Svadu Sweets & Savouries,BTM,"Quick Bites, Sweet Shop","Street Food, Mithai",200.0,No,No,3.7,26,Desserts
Jigarthanda,BTM,Quick Bites,"Fast Food, Desserts, Rolls",200.0,No,No,3.6,13,Desserts
Gelato Pazzo,BTM,Dessert Parlor,Desserts,200.0,No,No,3.8,47,Desserts
Calvin's,BTM,Dessert Parlor,Desserts,600.0,No,No,3.7,106,
Gelato Italiano,BTM,"Food Court, Dessert Parlor","Ice Cream, Bakery, Desserts",200.0,Yes,No,3.7,32,Desserts
Kurtoskalacs,Koramangala 5th Block,"Dessert Parlor, Quick Bites","Desserts, Fast Food",400.0,No,No,4.6,342,
The Belgian Waffle Co.,Koramangala 5th Block,Dessert Parlor,"Desserts, Beverages",350.0,Yes,No,4.2,184,Desserts
Frozen Bottle,Koramangala 5th Block,Beverage Shop,"Beverages, Desserts, Ice Cream",400.0,Yes,No,4.1,244,Desserts
Krispy Kreme,Koramangala 7th Block,Dessert Parlor,"Desserts, Beverages",300.0,Yes,No,4.2,449,Desserts
Banchharam,Koramangala 7th Block,"Quick Bites, Sweet Shop","Street Food, Mithai",200.0,No,No,3.9,144,Desserts
Cream Stone,Koramangala 5th Block,Dessert Parlor,"Desserts, Ice Cream, Beverages",500.0,Yes,No,4.2,346,Desserts
Baskin Robbins,Koramangala 7th Block,Kiosk,"Ice Cream, Desserts",300.0,No,No,4.1,77,Desserts
The Waffles Hut,Koramangala 5th Block,Dessert Parlor,"Desserts, Beverages",400.0,Yes,No,3.8,24,Desserts
Lassi Shop,Koramangala 5th Block,Beverage Shop,"Beverages, Ice Cream",200.0,Yes,No,4.1,216,Desserts
Sri Annapoorna Bajji Center,Jayanagar,"Sweet Shop, Quick Bites","Mithai, Street Food",100.0,No,No,3.9,15,Desserts
Bunny Bakers,Jayanagar,Bakery,"Bakery, Fast Food",250.0,No,No,3.6,31,Desserts
Me And My Cake,Bommanahalli,Takeaway,"Bakery, Desserts",500.0,No,No,3.2,4,Desserts
Arafa Juice Center,Koramangala 5th Block,Quick Bites,"Juices, Desserts, Fast Food",250.0,No,No,3.5,10,Desserts
Shree Mithai,Koramangala 7th Block,"Quick Bites, Sweet Shop","Desserts, Street Food, Mithai",150.0,No,No,3.3,10,Desserts
Meraki Patisserie,Jayanagar,Bakery,"Bakery, Desserts",350.0,No,No,3.3,6,Desserts
Mother Nature Kulfi,Jayanagar,Dessert Parlor,"Desserts, Ice Cream",200.0,No,No,3.6,10,Desserts
Cream N Desserts,Koramangala 7th Block,"Dessert Parlor, Beverage Shop","Desserts, Beverages",400.0,No,No,3.7,49,Desserts
Cake Yard,Koramangala 7th Block,Dessert Parlor,Desserts,250.0,No,No,2.9,30,Desserts
Sangam Sweets,Koramangala 3rd Block,Sweet Shop,"Mithai, Street Food",200.0,Yes,No,3.8,75,Desserts
Brother?s Bar & Kitchen,BTM,Casual Dining,"Chinese, North Indian",1000.0,No,No,3.4,5,Dine-out
Zam Zam Darbar,BTM,Casual Dining,"North Indian, Biryani, Chinese",500.0,No,No,2.9,84,Dine-out
Mayur,BTM,Casual Dining,"Andhra, North Indian, Chinese",500.0,No,No,3.6,18,Dine-out
Golden Grill Restaurant,BTM,Casual Dining,"Arabian, Chinese, North Indian, Kerala, Seafood",550.0,No,No,3.5,18,Dine-out
Zanzibar - Davanam Sarovar Portico Suites,BTM,Bar,Finger Food,1200.0,No,No,3.5,39,Dine-out
Seekers Cafe,BTM,Casual Dining,"Italian, Continental",500.0,No,No,3.6,25,Dine-out
100ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°C,BTM,Casual Dining,"Biryani, North Indian",450.0,No,No,3.7,41,Dine-out
Ma-Arya Family Restaurant,BTM,Casual Dining,"Biryani, South Indian, North Indian, Chinese, Andhra",600.0,No,No,3.1,8,Dine-out
Sri Durga Cane Fresh,BTM,Beverage Shop,"Juices, Beverages, Fast Food",100.0,No,No,3.4,5,Dine-out
Benzys,BTM,Casual Dining,"Arabian, Chinese, Hyderabadi, Kerala",700.0,No,No,3.2,6,Dine-out
Nanna Munna,BTM,Quick Bites,"North Indian, Chinese",200.0,No,No,3.4,8,Dine-out
Bamboo Heights,BTM,Casual Dining,"Chinese, Fast Food, Continental",500.0,No,No,3.7,112,Dine-out
Pizza Hut,BTM,Casual Dining,"Pizza, Fast Food",750.0,Yes,No,3.3,19,Dine-out
Ambur Star Briyani,BTM,Quick Bites,"Biryani, Kebab",400.0,Yes,No,3.5,383,Dine-out
KFC,BTM,Quick Bites,"Burger, Fast Food",400.0,Yes,No,3.9,348,Dine-out
Domino's Pizza,BTM,Quick Bites,"Pizza, Fast Food",400.0,Yes,No,4.1,521,Dine-out
Faasos,BTM,Quick Bites,"North Indian, Biryani, Fast Food",500.0,Yes,No,3.9,441,Dine-out
New Limra Hotel,BTM,Quick Bites,"South Indian, Biryani, Fast Food",200.0,No,No,3.4,5,Dine-out
Bangalore Star Biriyani,BTM,Quick Bites,"Biryani, Chinese, North Indian",300.0,No,No,3.4,7,Dine-out
Kabab Magic,BTM,Quick Bites,"North Indian, Kebab, Fast Food",500.0,Yes,No,3.9,879,Dine-out
Just Shawarma,BTM,Quick Bites,Arabian,300.0,Yes,No,3.9,201,Dine-out
Zeeshan,BTM,Quick Bites,"North Indian, Mughlai, Biryani, Rolls",700.0,Yes,No,2.8,178,Dine-out
New Kabab Zone,BTM,Quick Bites,"North Indian, Fast Food",500.0,No,No,3.5,39,Dine-out
McDonald's,BTM,Quick Bites,"Burger, Fast Food",500.0,Yes,No,3.6,59,Dine-out
Udupi Gokul Cafe,BTM,Quick Bites,South Indian,300.0,No,No,3.8,58,Dine-out
Namma Kadai,BTM,Quick Bites,South Indian,150.0,No,No,3.4,4,Dine-out
Nellore Dosa Camp,BTM,Quick Bites,"Andhra, South Indian",70.0,No,No,3.3,5,Dine-out
Sri Saravana Bhavan,BTM,Quick Bites,South Indian,200.0,No,No,3.7,35,Dine-out
Gangothri Kabab Corner,BTM,Quick Bites,North Indian,400.0,No,No,3.1,18,Dine-out
Thalassery Cafe,BTM,Quick Bites,Street Food,150.0,No,No,3.4,7,Dine-out
